effort	AdjustedFunctionPoints	Inputcount	Outputcount	Enquirycount	Filecount	Interfacecount	Addedcount	Changedcount	Deletedcount
4150	260	9	4	3	193	41	51	138	61
668	152	25	33	28	42	35	163	0	0
3238	252	151	28	8	39	0	69	153	4
2994	292	93	0	194	20	0	0	307	0
1333	83	63	0	24	0	0	0	87	0
1607	79	24	0	23	30	0	0	77	0
1243	116	0	23	58	14	20	81	34	0
3372	52	39	7	0	0	0	0	46	0
10200	465	209	129	24	83	15	460	0	0
1704	67	32	5	16	7	0	25	35	0
2640	199	0	115	57	0	42	214	0	0
3348	176	13	54	54	40	7	168	0	0
676	391	208	26	81	25	0	38	302	0
2496	42	12	15	3	7	15	52	0	0
1171	190	98	20	16	63	5	160	42	0
3532	245	105	28	18	58	0	19	190	0
436	77	28	0	42	0	0	0	70	0
909	355	278	0	73	0	0	0	351	0
9094	3156	2075	525	97	0	0	28	12	2657
344	46	0	28	0	25	0	28	25	0
296	56	14	12	15	7	5	53	0	0
3503	106	65	4	12	14	0	35	53	7
246	71	31	28	9	7	0	31	23	21
2082	306	51	105	0	105	45	306	0	0
191	244	68	78	22	62	14	244	0	0
2974	98	21	46	3	44	0	114	0	0
328	331	100	44	61	107	0	312	0	0
406	101	16	5	39	52	0	112	0	0
1785	192	9	102	0	10	77	198	0	0
471	60	39	4	0	14	10	39	22	6
700	180	74	18	33	57	0	153	29	0
579	118	43	71	7	0	0	38	83	0
1211	73	43	10	4	15	0	6	66	0
1139	143	63	0	27	45	0	14	121	0
14520	2190	706	648	236	235	0	1825	0	0
12970	736	230	25	419	57	5	261	475	0
239	9	0	10	0	0	0	5	5	0
1262	203	21	167	3	10	0	201	0	0
1754	162	64	36	9	28	20	157	0	0
1514	183	60	21	29	71	0	181	0	0
667	59	36	21	0	0	0	6	51	0
5864	412	198	14	99	91	10	412	0	0
973	348	198	14	33	77	0	10	312	0
204	206	0	199	0	0	5	100	104	0
3148	617	184	136	103	133	0	377	179	0
8716	173	0	78	10	17	72	177	0	0
1464	286	45	156	27	37	0	265	0	0
1358	52	13	17	6	10	5	20	16	15
281	45	6	28	0	0	25	59	0	0
2321	104	30	7	48	15	0	0	100	0
4054	465	234	44	104	118	0	431	15	54
809	144	49	0	65	20	10	16	104	24
2400	2145	862	63	491	518	300	2234	0	0
700	119	41	25	48	21	0	135	0	0
5650	283	20	125	39	91	17	292	0	0
1525	109	0	84	0	17	5	47	59	0
476	160	0	21	72	25	40	74	68	16
503	65	0	64	0	0	0	54	10	0
8470	366	160	27	96	72	0	260	84	11
778	63	18	10	3	28	0	16	43	0
2597	309	126	13	59	153	30	381	0	0
950	610	137	174	117	147	0	575	0	0
5727	562	165	125	93	119	0	502	0	0
2040	156	21	38	39	7	41	146	0	0
3677	75	30	5	19	21	0	40	35	0
570	136	42	64	0	21	0	0	127	0
1223	96	13	56	0	10	40	119	0	0
976	78	24	24	9	21	0	78	0	0
387	51	42	0	14	0	0	20	36	0
4416	1092	356	84	170	669	21	1300	0	0
286	134	42	11	32	35	14	134	0	0
304	75	24	9	0	36	0	0	69	0
1057	58	26	0	15	7	0	44	4	0
129	88	18	20	0	43	0	36	45	0
440	82	25	46	0	14	15	100	0	0
1099	77	45	9	19	21	5	99	0	0
1362	110	30	66	0	7	0	18	85	0
3347	326	172	74	14	7	5	0	268	4
2533	308	153	83	0	112	10	236	122	0
1810	68	40	7	10	0	0	14	43	0
225	143	75	32	3	62	0	172	0	0
11045	826	292	326	155	32	0	396	139	270
32760	3460	484	1831	318	208	142	2756	227	0
2054	73	15	32	0	28	5	80	0	0
252	64	4	56	0	7	0	11	56	0
2362	497	122	28	113	273	10	454	92	0
1593	827	405	133	289	0	0	60	767	0
2459	288	201	0	36	76	0	99	214	0
658	49	12	29	0	0	0	0	41	0
770	130	60	65	0	0	0	14	111	0
8111	204	47	43	6	29	104	229	0	0
136	60	10	25	0	31	5	71	0	0
358	73	0	20	36	10	0	56	10	0
481	169	32	14	25	28	70	169	0	0
3189	1351	379	449	271	219	20	1173	29	136
22500	2087	862	444	303	437	0	2046	0	0
183	102	37	26	10	29	0	102	0	0
1482	115	49	39	0	15	0	53	50	0
943	199	104	7	77	0	0	0	188	0
2684	163	49	14	33	49	10	155	0	0
729	97	21	41	0	49	15	16	100	10
3630	439	82	222	19	85	10	105	313	0
34085	3113	2019	609	248	157	80	3113	0	0
2856	153	35	7	57	24	20	143	0	0
5757	670	346	97	122	79	0	146	498	0
631	129	19	93	3	10	30	0	155	0
3558	401	211	35	112	43	0	95	306	0
2184	329	324	68	14	0	0	206	73	127
21014	5684	2221	454	820	1137	311	4943	0	0
417	61	27	4	24	17	0	72	0	0
34004	4352	1411	1337	644	494	0	3886	0	0
2683	267	27	133	51	34	89	70	178	86
5532	218	78	16	56	77	0	227	0	0
4815	919	458	236	56	58	76	884	0	0
246	66	27	12	6	14	0	28	31	0
686	54	36	0	16	0	0	0	52	0
499	210	124	24	10	17	0	0	175	0
470	245	88	105	27	79	0	299	0	0
395	54	24	28	0	0	0	0	52	0
686	64	22	15	16	0	0	53	0	0
1080	151	40	54	15	21	0	111	19	0
2337	212	6	46	153	7	0	205	7	0
2933	300	95	82	27	76	0	138	142	0
2999	224	156	21	0	29	10	6	210	0
61891	1523	643	268	281	204	5	1025	189	187
26	58	15	37	0	0	5	0	57	0
448	56	50	0	3	0	0	0	53	0
1090	109	20	10	42	20	17	52	57	0
906	244	91	12	44	60	50	257	0	0
211	12	0	0	6	7	0	10	3	0
1584	67	3	26	0	7	35	71	0	0
148	95	36	0	32	24	0	0	92	0
25482	2376	638	233	639	580	131	2221	0	0
